,Слова,Важность,Компетенция,Чистые слова
568,поиск и устранение неисправностей ,10.0,Информационные кабельные сети(юниоры),поиск устранение неисправностей
569,специалист должен знать и понимать  этапы определения характера повреждения;  влияние повреждений на функционирование элементов сети;  возможные последствия для бизнес-процессов в результате сетевых неполадок   специалист должен уметь  определять характер повреждения находить и максимально качественно и быстро устранять повреждения;  заполнять протоколы повреждений;  вести кабельные журналы;  устанавливать обновления для того чтобы убедиться что система отвечает требованиям безопасности;  обеспечивать экспертное консультирование и сопровождение системы её возможностей и ограничений  ,10.0,Информационные кабельные сети(юниоры),специалист  этапы определения характера повреждения;  влияние повреждений функционирование элементов сети;  возможные последствия бизнес-процессов результате сетевых неполадок специалист  определять характер повреждения находить максимально качественно быстро устранять повреждения;  заполнять протоколы повреждений;  вести кабельные журналы;  устанавливать обновления убедиться система отвечает требованиям безопасности;  обеспечивать экспертное консультирование сопровождение системы возможностей ограничений
570,измерения,15.0,Информационные кабельные сети(юниоры),измерения
571,специалист должен знать и понимать  принципы и назначение измерительных устройств;  практическое применение измерительных устройств   специалист должен уметь ,15.0,Информационные кабельные сети(юниоры),специалист  принципы назначение измерительных устройств;  практическое применение измерительных устройств специалист
572, инспектировать и чистить разъёмные соединения и исправлять при необходимости;  производить измерения характеристик волоконно- оптических кабелей при помощи тестеров оптических потерь otls и оптических рефлектометров otdr;  подбирать необходимое оборудование для тестирования;  заполнять протоколы измерений   ,15.0,Информационные кабельные сети(юниоры), инспектировать чистить разъёмные соединения исправлять необходимости;  производить измерения характеристик волоконно- оптических кабелей помощи тестеров оптических потерь otls оптических рефлектометров otdr;  подбирать необходимое оборудование тестирования;  заполнять протоколы измерений
573,кровельщик  специалист выполняющий гидроизоляционные работы с применением широкого спектра современных рулонных и мастичных материалов не только на крышах но и при гидроизоляции систем находящихся в соприкосновении с землей а также выполняющий работы по монтажу листовых и штучных материалов на скатных крышах  кровельщик выполняет работы на объектах нового строительства и реконструкции а также при обслуживании крыш он проводит подготовительные мероприятия перед началом кровельных работ производит очистку кровель и систем водоотвода в зимний период и при сезонных осмотрах кровель если при осмотре обнаружены локальные повреждения гидроизоляционного покрытия кровельщик их ремонтирует выполнение кровельных работ включает в себя монтаж слоев кровельной системы сборку деревянных несущих конструкций из элементов заводского изготовления и из пиломатериалов кровельщик выполняет устройство конструктивных элементов кровли производит монтаж окон продухов и элементов инженерных систем кровельщик выполняет полный комплекс кровельных работ на крышах  криволинейной конструкции производит гидроизоляцию эксплуатируемых кровель  основные трудовые функции кровельщика  - монтаж слоев кровельной системы - устройство конструктивных элементов крыш - монтаж окон продухов и элементов инженерных систем кровельщик должен соблюдать правила безопасности во время работы обладать физической выносливостью способностью к высокой концентрации и умением уделять внимание деталям  организация работ самоуправление взаимодействие и умение общаться с людьми являются неотъемлемой частью квалификации кровельщика поскольку кровельные работы как правило выполняются строительной бригадой а не в одиночку кровельщика высокой квалификации отличает способность подбирать технические корректные и эффективные сочетания материалов а также соблюдение технологий монтажа кровельных материалов  от квалификации кровельщика в конечном итоге зависит безопасность энергоэффективность долговечность и комфортность строительных сооружений в стремительно меняющемся мире где люди стали чрезвычайно мобильны кровельщик регулярно сталкивается с новыми возможностями и вызовами для талантливого кровельщика открываются многочисленные возможности участия в коммерческих и международных проектах однако эти возможности требуют понимания других культур и трендов есть несколько вариантов освоения профессии кровельщик  существует трехлетняя программа подготовки кровельщиков широкого профиля в организациях среднего профессионального образования однако как правило специалисты в последующем выбирают одно или  несколько смежных специализаций определяющихся типом основного гидроизоляционного покрытия металлические или мягкие кровли или характером объектов промышленные здания или небольшие частные постройки   более вариативный с точки зрения построения карьеры вариант  это получение профессии кровельщик в дополнение к основной общестроительной специальности в организации среднего специального реже  высшего образования  для действующих специалистов строительной отрасли желающих освоить профессию кровельщик существуют программы дополнительного профессионального образования а также образовательные программы разработанные производителями изоляционных материалов ,15.0,Кровельные работы,кровельщик специалист выполняющий гидроизоляционные работы применением широкого спектра современных рулонных мастичных материалов крышах гидроизоляции систем находящихся соприкосновении землей выполняющий работы монтажу листовых штучных материалов скатных крышах кровельщик выполняет работы объектах нового строительства реконструкции обслуживании крыш проводит подготовительные мероприятия началом кровельных работ производит очистку кровель систем водоотвода зимний период сезонных осмотрах кровель осмотре обнаружены локальные повреждения гидроизоляционного покрытия кровельщик ремонтирует выполнение кровельных работ включает монтаж слоев кровельной системы сборку деревянных несущих конструкций элементов заводского изготовления пиломатериалов кровельщик выполняет устройство конструктивных элементов кровли производит монтаж окон продухов элементов инженерных систем кровельщик выполняет полный комплекс кровельных работ крышах криволинейной конструкции производит гидроизоляцию эксплуатируемых кровель основные трудовые функции кровельщика - монтаж слоев кровельной системы - устройство конструктивных элементов крыш - монтаж окон продухов элементов инженерных систем кровельщик соблюдать правила безопасности работы обладать физической выносливостью способностью высокой концентрации умением уделять внимание деталям организация работ самоуправление взаимодействие умение общаться людьми являются неотъемлемой частью квалификации кровельщика поскольку кровельные работы правило выполняются строительной бригадой одиночку кровельщика высокой квалификации отличает способность подбирать технические корректные эффективные сочетания материалов соблюдение технологий монтажа кровельных материалов квалификации кровельщика конечном итоге зависит безопасность энергоэффективность долговечность комфортность строительных сооружений стремительно меняющемся мире стали чрезвычайно мобильны кровельщик регулярно сталкивается новыми возможностями вызовами талантливого кровельщика открываются возможности участия коммерческих международных проектах возможности требуют понимания культур трендов вариантов освоения профессии кровельщик существует трехлетняя программа подготовки кровельщиков широкого профиля организациях среднего профессионального образования правило специалисты последующем выбирают одно смежных специализаций определяющихся типом основного гидроизоляционного покрытия металлические мягкие кровли характером объектов промышленные здания небольшие частные постройки вариативный точки зрения построения карьеры вариант получение профессии кровельщик дополнение основной общестроительной специальности организации среднего специального реже высшего образования действующих специалистов строительной отрасли желающих освоить профессию кровельщик существуют программы дополнительного профессионального образования образовательные программы разработанные производителями изоляционных материалов
574,организация и управление работой ,10,Кровельные работы,организация управление работой
575,специалист должен знать и понимать  требования инструкций по охране труда производственной санитарии пожарной и экологической безопасности  требования нормативной документации регламентирующей безопасное производство строительных работ  основные положения трудового законодательства страны на территории которой производятся работы  организация рабочих мест на высоте пути прохода работников на рабочие места особые меры безопасности при работе на крыше с уклоном  правила организации системы страховки бригады кровельщиков  методы и средства для подъема на крышу материалов и инструмента  требования к порядку складирования условиям хранения совместимости материалов и инструмента с учетом последовательности выполнения работ  номенклатура правила эксплуатации и хранения ручного и механизированного инструмента оборудования инвентаря приспособлений и оснастки   требования к организации рабочего места кровельщика  требования технической нормативной документации регламентирующей строительство крыш  правила производства и приемки работ  виды и свойства применяемых материалов требования к их качеству  требования к качеству выполненных кровельных работ  распространенные ошибки допускаемые при выполнении кровельных работ и способы устранения дефектов  содержание инструкций и рекомендаций по монтажу конструкций инструкций по эксплуатации оборудования   специалист должен уметь  обеспечить безопасность труда в отношении самого себя и окружающих  правильно выбирать и применять средства индивидуальной защиты в соответствии с поставленной задачей  соблюдать технику безопасности при использовании ручных и электрических инструментов  поддерживать рабочее место в чистом и безопасном состоянии  применять и настраивать инструменты для механической фиксации и наплавления изоляционных материалов  применять и настраивать ручной и автоматический инструмент для сварки швов гидроизоляционного покрытия  выполнять работы с учетом охраны окружающей среды и устойчивого развития в строительной отрасли  читать строительные чертежи чертежи различных конструкций и соединений планы разрезы ,10,Кровельные работы,специалист требования инструкций охране труда производственной санитарии пожарной экологической безопасности требования нормативной документации регламентирующей безопасное производство строительных работ основные положения трудового законодательства страны территории производятся работы организация рабочих мест высоте пути прохода работников рабочие места особые меры безопасности работе крыше уклоном правила организации системы страховки бригады кровельщиков методы средства подъема крышу материалов инструмента требования порядку складирования условиям хранения совместимости материалов инструмента учетом последовательности выполнения работ номенклатура правила эксплуатации хранения ручного механизированного инструмента оборудования инвентаря приспособлений оснастки требования организации рабочего места кровельщика требования технической нормативной документации регламентирующей строительство крыш правила производства приемки работ виды свойства применяемых материалов требования качеству требования качеству выполненных кровельных работ распространенные ошибки допускаемые выполнении кровельных работ способы устранения дефектов содержание инструкций рекомендаций монтажу конструкций инструкций эксплуатации оборудования специалист обеспечить безопасность труда отношении окружающих правильно выбирать применять средства индивидуальной защиты соответствии поставленной задачей соблюдать технику безопасности использовании ручных электрических инструментов поддерживать рабочее чистом безопасном состоянии применять настраивать инструменты механической фиксации наплавления изоляционных материалов применять настраивать ручной автоматический инструмент сварки швов гидроизоляционного покрытия выполнять работы учетом охраны окружающей среды устойчивого развития строительной отрасли читать строительные чертежи чертежи различных конструкций соединений планы разрезы
576,компетенции в области коммуникаций и межличностных отношений ,5,Кровельные работы,компетенции области коммуникаций межличностных отношений
577,специалист должен знать и понимать  функции и требования заказчиков архитекторов а также наиболее эффективные методы общения  указания заказчиков архитекторов и ответственных производителей строительных работ  средства невербальной коммуникации чертежи руководства инструкции стандарты и т д  важность эффективной работы в коллективе    специалист должен уметь  понимать и воплощать указания заказчика  разъяснять все возможные недоразумения по чертежам путем формулировки соответствующих вопросов  читать и понимать все необходимые руководства чертежи и т д для обеспечения высокого качества выполненных работ  обосновывать выбор материалов и способов их монтажа  объективно оценивать качество произведенной им работы  эффективно работать в качестве члена команды ,5,Кровельные работы,специалист функции требования заказчиков архитекторов эффективные методы общения указания заказчиков архитекторов ответственных производителей строительных работ средства невербальной коммуникации чертежи руководства инструкции стандарты д важность эффективной работы коллективе специалист воплощать указания заказчика разъяснять возможные недоразумения чертежам путем формулировки соответствующих вопросов читать необходимые руководства чертежи д обеспечения высокого качества выполненных работ обосновывать выбор материалов способов монтажа объективно оценивать качество произведенной работы эффективно качестве члена команды
578,монтаж слоев кровельной системы ,40,Кровельные работы,монтаж слоев кровельной системы
579,специалист должен знать и понимать  базовые требования технической нормативной документации регламентирующей строительство крыш  устройство плоских и скатных крыш  основы строительной физики черчения и технических измерений  основные виды свойства и назначение гидроизоляционных материалов и материалов применяемых для строительства крыш  технологии укладки и закрепления паро- и теплоизоляционных материалов разделительных слоев   способы укладки гидроизоляционного слоя из различных материалов  способы устройства уклонообразующего слоя и виды применяемых для этого материалов   требования к толщине нанесения слоя мастики   специалист должен уметь  размечать и укладывать клиновидную теплоизоляцию при формировании уклонообразующего слоя  выполнять механическую фиксацию слоев кровельной системы   выполнять приклеивание слоев кровельной системы к основной горизонтальной и вертикальной поверхности   выполнять проклеивание стыков пароизоляционных материалов с применением специальных лент  устанавливать теплоизоляцию в конструкцию скатных крыш   укладывать теплоизоляцию на горизонтальную поверхность и вертикальные примыкания плоской крыши   производить наплавление с помощью газовой горелки или горячего воздуха основного гидроизоляционного покрытия из полимерно-битумных рулонных материалов   производить сварку швов основного гидроизоляционного покрытия из полимерных рулонных материалов   наносить гидроизоляционное покрытие из мастичных материалов   выполнять работы по механическому креплению основного гидроизоляционного покрытия из различных видов штучных материалов в соответствии со специализацией  читать строительные чертежи чертежи различных конструкций и соединений планы разрезы ,40,Кровельные работы,специалист базовые требования технической нормативной документации регламентирующей строительство крыш устройство плоских скатных крыш основы строительной физики черчения технических измерений основные виды свойства назначение гидроизоляционных материалов материалов применяемых строительства крыш технологии укладки закрепления паро- теплоизоляционных материалов разделительных слоев способы укладки гидроизоляционного слоя различных материалов способы устройства уклонообразующего слоя виды применяемых материалов требования толщине нанесения слоя мастики специалист размечать укладывать клиновидную теплоизоляцию формировании уклонообразующего слоя выполнять механическую фиксацию слоев кровельной системы выполнять приклеивание слоев кровельной системы основной горизонтальной вертикальной поверхности выполнять проклеивание стыков пароизоляционных материалов применением специальных лент устанавливать теплоизоляцию конструкцию скатных крыш укладывать теплоизоляцию горизонтальную поверхность вертикальные примыкания плоской крыши производить наплавление помощью газовой горелки горячего воздуха основного гидроизоляционного покрытия полимерно-битумных рулонных материалов производить сварку швов основного гидроизоляционного покрытия полимерных рулонных материалов наносить гидроизоляционное покрытие мастичных материалов выполнять работы механическому креплению основного гидроизоляционного покрытия различных видов штучных материалов соответствии специализацией читать строительные чертежи чертежи различных конструкций соединений планы разрезы
580,устройство конструктивных элементов кровли ,20,Кровельные работы,устройство конструктивных элементов кровли
581,специалист должен знать и понимать  правила чтения рабочих чертежей  основные требования действующей технической нормативной документации регламентирующей строительство крыш  способы выполнения гидроизоляционного покрытия и примыканий к выступающим частям парапетов вентиляционных шахт труб прямоугольного сечения   способы устройства карнизного свеса разжелобка ендовы кровельного покрытия вертикальной поверхности оформления ребра и конька крыши  требования к устройству температурных деформационных швов противопожарных рассечек  требования к параметрам сварки термопластичных полимерных мембран   способы устройства кровельного покрытия вертикальной поверхности   специалист должен уметь  размечать подгонять закреплять элементы конька ендовы карнизного свеса парапетов  размечать и изготавливать элементы кровельного покрытия выступающих частей парапетов вентиляционных шахт труб прямоугольного и квадратного сечения изолировать внутренние и внешние углы   соединять кровельные детали между собой и крепить к основанию  монтировать элементы температурных деформационных швов противопожарных рассечек; закреплять основные слои кровельной системы на краях деформационных швов противопожарных рассечек ,20,Кровельные работы,специалист правила чтения рабочих чертежей основные требования действующей технической нормативной документации регламентирующей строительство крыш способы выполнения гидроизоляционного покрытия примыканий выступающим частям парапетов вентиляционных шахт труб прямоугольного сечения способы устройства карнизного свеса разжелобка ендовы кровельного покрытия вертикальной поверхности оформления ребра конька крыши требования устройству температурных деформационных швов противопожарных рассечек требования параметрам сварки термопластичных полимерных мембран способы устройства кровельного покрытия вертикальной поверхности специалист размечать подгонять закреплять элементы конька ендовы карнизного свеса парапетов размечать изготавливать элементы кровельного покрытия выступающих частей парапетов вентиляционных шахт труб прямоугольного квадратного сечения изолировать внутренние внешние углы соединять кровельные детали крепить основанию монтировать элементы температурных деформационных швов противопожарных рассечек; закреплять основные слои кровельной системы краях деформационных швов противопожарных рассечек
582,монтаж окон продухов и элементов инженерных систем ,25,Кровельные работы,монтаж окон продухов элементов инженерных систем
583,специалист должен знать и понимать  правила чтения рабочих чертежей  назначение и устройство зенитных фонарей и люков дымоудаления заводского изготовления требования к их установке  назначение ограждений и систем снегозадержания требования к их установке  устройство системы подкровельной вентиляции назначение кровельных аэраторов и продухов   назначение мансардных окон требования к их установке  устройство водосливной системы требования к установке элементов системы водоотвода  специалист должен уметь  выполнять монтаж элементов безопасности обслуживания крыш и снегозадержания   устанавливать зенитные фонари заводского изготовления и люки дымоудаления   выполнять установку кровельных аэраторов и продухов   выполнять установку кровельных воронок   монтировать элементы внешней водосливной системы   выполнять установку мансардного окна с окладом заводского изготовления устройство примыканий к окну монтаж подоконных отливов   выполнять примыкания к выступающим частям труб круглого сечения антенн растяжек стоек из различных материалов   выполнять в кровельном покрытии проходки малого диаметра ,25,Кровельные работы,специалист правила чтения рабочих чертежей назначение устройство зенитных фонарей люков дымоудаления заводского изготовления требования установке назначение ограждений систем снегозадержания требования установке устройство системы подкровельной вентиляции назначение кровельных аэраторов продухов назначение мансардных окон требования установке устройство водосливной системы требования установке элементов системы водоотвода специалист выполнять монтаж элементов безопасности обслуживания крыш снегозадержания устанавливать зенитные фонари заводского изготовления люки дымоудаления выполнять установку кровельных аэраторов продухов выполнять установку кровельных воронок монтировать элементы внешней водосливной системы выполнять установку мансардного окна окладом заводского изготовления устройство примыканий окну монтаж подоконных отливов выполнять примыкания выступающим частям труб круглого сечения антенн растяжек стоек различных материалов выполнять кровельном покрытии проходки малого диаметра
584,всего,100.0,Кровельные работы,
585,   кровельщики по металлу изготавливают из тонколистового металла элементы кровли крыш и обшивки фасадов в том числе водосточные трубы карнизы и ограждающие конструкции для балконов фасадов и крыш а также производят их установку элементы конструкции они выполняют из тонколистового металла путем сгибания фальцовки резки и сварки в соответствии со спецификациями архитекторов и строительных подрядчиков а затем собирают из готовых металлических деталей требуемую форму также они изготавливают кровельное покрытие труб и вентиляционных каналов устанавливают системы вентиляции оборудование для кондиционирования воздуха панели солнечных батарей устройства для снегозадержания системы защиты от птиц и громоотводы в основном кровельщики по металлу работают в мастерских и на строительных площадках открытого типа например на крышах и фасадах жилых общественных или промышленных зданий поставленные к выполнению задачи кровельщики по металлу согласуют с архитекторами и строительными подрядчиками требования к кровельному покрытию фасадов балконов крыш и печных труб им предоставляют на планах и чертежах кровельщики вносят свои предложения исходя из новейших тенденций в конструкции крыш принимая во внимание достоинства и недостатки различных материалов    когда все нюансы структуры определены кровельщики изготавливают необходимые элементы конструкции в мастерской они выполняют резку придают металлическим листам требуемую форму путем гибки и обработки при помощи ударов затем подготовленные отдельные кровельные детали  соединяют между собой в единую конструкцию заданной формы соединение отдельных деталей между собой осуществляется путём подгиба и обжатия кромок или пайки сварки если необходимо сделать несколько экземпляров определенных заготовок кровельщики по металлу изготавливают шаблоны которые позволяют создавать одинаковые формы в финальной стадии работы они проверяют итоговые элементы конструкции и обрабатывают поверхность антикоррозионными средствами многие готовые детали например водостоки и трубы работники закупают в магазинах и в этом случае необходимо только подогнать их т е отпилить водостоки и трубы необходимой длины перед тем как собрать элементы кровли изготовленные в мастерской или на стройплощадке в единую конструкцию кровельщикам по металлу необходимо провести множество подготовительных процедур после транспортировки уже готовых элементов кровли на строительную площадку необходимо возвести строительные леса для работы и обеспечения безопасности; установить на зданиях системы индивидуальной защиты от падения с высоты стальные канаты и лебедки дополнительно в зависимости от заказа предусмотрены различные виды работ с кирпичной облицовкой в том числе вырезка пазов и проемов в стенах  перед облицовкой фасада или крыши кровельщикам необходимо установить теплоизоляционные материалы кровельщики гидроизолируют места примыкания металлических деталей к кирпичной кладке используя герметики изготавливают сварные и клеевые трубные соединения и заделывают проемы и углубления в кирпичной кладке  к примеру перед облицовкой они защищаю трубы используя пластики кровельщики по металлу не только изготавливают новую кровлю но и проводят ремонтные работы со временем пришедших в негодность покрытий крыш и фасадов и в случае необходимости добавляют дополнительную теплоизоляцию также они устанавливают системы вентиляции и кондиционирования воздуха панели солнечных батарей теплообменники и  системы водопроводных труб в круг их задач также входит установка громоотводов и дополнительного оснащения крыш к примеру снегозащитных ограждений  кровельщики по металлу часто работают вручную используя для этого различные приспособления и механизмы которые облегчают работу такие как гибочные и штамповочные станки с чпу шлифовальные машины и пилы расширители труб как правило во время работы они надевают защитную одежду - защитную каску специальную обувь беруши респираторы при необходимости а также защитные очки и пользуются предохранительными щитками для работы с точильным станком это необходимо для защиты от металлической пыли которая образуется в ходе работы с пилой шлифовальной машинкой и фальцовке как в мастерской так и на строительной площадке часто станки производят много шума а во время пайки и сварки выделяются дым и газы которые могут привести к заболеваниям дыхательных путей часто кровельщики по металлу подвергаются воздействию погодных условий на открытых и закрытых строительных площадках  для того чтобы быть способными как можно лучше выполнить монтаж металлической кровли с учетом особенностей участка проведения работ кровельщикам по металлу необходима развитая мелкая моторика хороший глазомер и обстоятельный подход к делу работа на лесах и лестницах требует осмотрительности хорошей координации и умения работать на высоте следует иметь ввиду что когда кровельщики по металлу устанавливают тяжелую объёмную деталь они вынуждены принимать разные положения тела в пространстве такая работа может быть физически сложной  кровельные работы по металлу являются неотъемлемой частью строительного сектора они обеспечивают защиту от проникновения воды в конструкции здания безопасность и комфорт для жителей и людей занимающихся эксплуатацией как всего здания так и отдельных его компонентов ,100.0,Кровельные работы по металлу,кровельщики металлу изготавливают тонколистового металла элементы кровли крыш обшивки фасадов числе водосточные трубы карнизы ограждающие конструкции балконов фасадов крыш производят установку элементы конструкции выполняют тонколистового металла путем сгибания фальцовки резки сварки соответствии спецификациями архитекторов строительных подрядчиков собирают готовых металлических деталей требуемую форму изготавливают кровельное покрытие труб вентиляционных каналов устанавливают системы вентиляции оборудование кондиционирования воздуха панели солнечных батарей устройства снегозадержания системы защиты птиц громоотводы основном кровельщики металлу работают мастерских строительных площадках открытого типа например крышах фасадах жилых общественных промышленных зданий поставленные выполнению задачи кровельщики металлу согласуют архитекторами строительными подрядчиками требования кровельному покрытию фасадов балконов крыш печных труб предоставляют планах чертежах кровельщики вносят предложения исходя новейших тенденций конструкции крыш принимая внимание достоинства недостатки различных материалов нюансы структуры определены кровельщики изготавливают необходимые элементы конструкции мастерской выполняют резку придают металлическим листам требуемую форму путем гибки обработки помощи ударов подготовленные отдельные кровельные детали соединяют единую конструкцию заданной формы соединение отдельных деталей осуществляется путём подгиба обжатия кромок пайки сварки необходимо экземпляров определенных заготовок кровельщики металлу изготавливают шаблоны позволяют создавать одинаковые формы финальной стадии работы проверяют итоговые элементы конструкции обрабатывают поверхность антикоррозионными средствами многие готовые детали например водостоки трубы работники закупают магазинах случае необходимо подогнать отпилить водостоки трубы необходимой длины собрать элементы кровли изготовленные мастерской стройплощадке единую конструкцию кровельщикам металлу необходимо провести множество подготовительных процедур транспортировки готовых элементов кровли строительную площадку необходимо возвести строительные леса работы обеспечения безопасности; установить зданиях системы индивидуальной защиты падения высоты стальные канаты лебедки дополнительно зависимости заказа предусмотрены различные виды работ кирпичной облицовкой числе вырезка пазов проемов стенах облицовкой фасада крыши кровельщикам необходимо установить теплоизоляционные материалы кровельщики гидроизолируют места примыкания металлических деталей кирпичной кладке используя герметики изготавливают сварные клеевые трубные соединения заделывают проемы углубления кирпичной кладке примеру облицовкой защищаю трубы используя пластики кровельщики металлу изготавливают новую кровлю проводят ремонтные работы временем пришедших негодность покрытий крыш фасадов случае необходимости добавляют дополнительную теплоизоляцию устанавливают системы вентиляции кондиционирования воздуха панели солнечных батарей теплообменники системы водопроводных труб круг задач входит установка громоотводов дополнительного оснащения крыш примеру снегозащитных ограждений кровельщики металлу работают вручную используя различные приспособления механизмы облегчают работу гибочные штамповочные станки чпу шлифовальные машины пилы расширители труб правило работы надевают защитную одежду - защитную каску специальную обувь беруши респираторы необходимости защитные очки пользуются предохранительными щитками работы точильным станком необходимо защиты металлической пыли образуется ходе работы пилой шлифовальной машинкой фальцовке мастерской строительной площадке станки производят шума пайки сварки выделяются дым газы привести заболеваниям дыхательных путей кровельщики металлу подвергаются воздействию погодных условий открытых закрытых строительных площадках способными выполнить монтаж металлической кровли учетом особенностей участка проведения работ кровельщикам металлу необходима развитая мелкая моторика глазомер обстоятельный подход делу лесах лестницах требует осмотрительности хорошей координации умения высоте следует ввиду кровельщики металлу устанавливают тяжелую объёмную деталь вынуждены принимать разные положения тела пространстве физически сложной кровельные работы металлу являются неотъемлемой частью строительного сектора обеспечивают защиту проникновения воды конструкции здания безопасность комфорт жителей людей занимающихся эксплуатацией здания отдельных компонентов
